[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000852s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001538s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002590s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003207s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user` [ RunTime:0.002830s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user_info` [ RunTime:0.002587s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 110 行.
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 42 行.
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_role` [ RunTime:0.003267s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 46 行.
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `cms_role` WHERE id= LIMIT 1   [ RunTime:0.000161s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_group` [ RunTime:0.003868s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `cms_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.009030s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 56 行.
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_access` [ RunTime:0.003138s ]
[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 62 行.
