[ 2013-11-22T16:28:42+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T16:28:42+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001107s ]
[ 2013-11-22T16:28:42+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001230s ]
[ 2013-11-22T16:28:42+08:00 ] / | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 22 行.
[ 2013-11-22T16:28:42+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003827s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article_data` [ RunTime:0.003106s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_link` [ RunTime:0.003354s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SELECT `id`,`catid`,`name`,`url`,`exten_catid` FROM `cms_link` WHERE status=1 ORDER BY sort desc,id desc  [ RunTime:0.000401s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.003469s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000338s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_index_data` [ RunTime:0.003438s ]
[ 2013-11-22T16:28:43+08:00 ] / | SQL: SELECT * FROM `cms_index_data` WHERE status=1 and catid in(1,2,3,4) ORDER BY sort desc,id desc  [ RunTime:0.000446s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001134s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001238s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T16:28:43+08:00 ] / | NOTIC: [8] Undefined variable: page_title e57cb8c2ce497fd0803b10241f4fc8f8.php 第 6 行.
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015167s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015277s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000756s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000851s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000546s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000858s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003308s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000687s ]
[ 2013-11-22T16:28:43+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000786s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000982s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001105s ]
[ 2013-11-22T16:28:44+08:00 ] / | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 22 行.
[ 2013-11-22T16:28:44+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003568s ]
